Price,Street,Area,City,Type,Bedrooms,Bathrooms,Size(Sq. Ft.),Parking Space,Balcony or Terrace,Double Glazed Windows,Maintenance Staff,View,Pet Policy,Lobby in Building,Family or Bachelor,Rent Year
15000,Shahjadpur, Badda, Dhaka,Room,2,2,800,No,Yes,No,No,North,No,No,Yes,2018
23000,Free School Street, Kathalbagan, Dhaka,Apartment,3,3,1300,Yes,No,Yes,No,North,Yes,No,Yes,2017
15000,South Badda, Badda, Dhaka,Room,2,2,900,No,No,No,Yes,North,No,No,Yes,2017
26000,Block G, Banasree, Dhaka,Apartment,4,3,1640,Yes,No,No,No,North,No,No,Yes,2017
16000,Tejgaon Industrial Area, Tejgaon, Dhaka,Room,2,2,750,No,No,Yes,Yes,South,No,No,Yes,2018
13500,South Badda, Badda, Dhaka,Room,2,2,800,No,No,Yes,No,East,Yes,No,Yes,2016
11000,Nurjahan Road, Mohammadpur, Dhaka,Room,1,1,600,No,No,No,Yes,North,No,Yes,Yes,2017
16000,Sector 6, Uttara, Dhaka,Room,2,2,800,No,Yes,Yes,Yes,East,No,No,Yes,2017
23000,Section 2, Mirpur, Dhaka,Apartment,3,3,1450,Yes,No,No,Yes,West,No,Yes,Yes,2016
25000,Block G, Banasree, Dhaka,Duplex,4,3,1640,Yes,Yes,Yes,No,West,No,No,Yes,2017
15000,Road7A, Dhanmondi, Dhaka,Room,2,1,650,No,No,No,No,West,No,Yes,Yes,2017
20000,Free School Street, Kathalbagan, Dhaka,Room,2,2,950,No,Yes,No,No,North,No,No,Yes,2016
26000,Road7A, Dhanmondi, Dhaka,Apartment,3,3,1350,No,No,No,No,South,Yes,No,Yes,2017
17800,Ring Road, Shyamoli, Dhaka,Room,2,2,980,Yes,No,No,No,North,No,Yes,Yes,2018
9000,Habibullah Road, Ibrahimpur, Dhaka,Room,2,2,850,No,Yes,Yes,No,North,No,Yes,Yes,2016
45000,Sector 6, Uttara, Dhaka,Duplex,3,4,2300,Yes,Yes,Yes,Yes,North,No,No,Yes,2018
14500,Habibullah Road, Ibrahimpur, Dhaka,Apartment,3,2,1050,No,No,No,No,North,No,Yes,Yes,2016
19000,Road7A, Dhanmondi, Dhaka,Apartment,2,2,1000,No,Yes,No,Yes,South,Yes,No,Yes,2018
23000,Gopibag, Motijheel, Dhaka,Apartment,3,2,1215,Yes,No,No,No,East,Yes,Yes,Yes,2016
23000,Free School Street, Kathalbagan, Dhaka,Room,3,2,950,Yes,Yes,Yes,Yes,North,Yes,No,Yes,2017
25000,Sector 10, Uttara, Dhaka,Apartment,3,4,1600,No,No,No,No,North,No,No,Yes,2016
17000,Habibullah Road, Ibrahimpur, Dhaka,Apartment,2,3,1050,Yes,No,Yes,No,North,No,Yes,Yes,2016
16000,Sector 6, Uttara, Dhaka,Apartment,3,2,1200,No,Yes,No,Yes,North,No,Yes,Yes,2018
11500,Section 2, Mirpur, Dhaka,Room,2,2,650,Yes,Yes,No,Yes,East,No,No,Yes,2017
26000,Middle Badda, Badda, Dhaka,Duplex,3,4,1700,No,No,Yes,No,East,No,Yes,Yes,2017
7500,Dakhshin Para, Mohakhali, Dhaka,Room,1,1,350,No,Yes,Yes,Yes,East,No,No,No,2016
16500,Tikatuli, Sutrapur, Dhaka,Apartment,2,2,1000,Yes,No,No,No,West,No,Yes,Yes,2016
12500,Habibullah Road, Ibrahimpur, Dhaka,Room,2,2,850,Yes,Yes,Yes,Yes,North,No,No,Yes,2017
28000,Tikatuli, Sutrapur, Dhaka,Apartment,3,3,1450,No,No,No,No,North,No,No,Yes,2018
8000,Habibullah Road, Ibrahimpur, Dhaka,Room,2,1,550,Yes,No,Yes,No,North,Yes,Yes,Yes,2017
20000,Free School Street, Kathalbagan, Dhaka,Room,2,1,800,No,Yes,No,Yes,North,Yes,Yes,Yes,2016
19000,Free School Street, Kathalbagan, Dhaka,Room,2,2,900,Yes,Yes,No,Yes,North,Yes,No,Yes,2017
13000,Free School Street, Kathalbagan, Dhaka,Room,1,2,650,No,No,Yes,No,North,Yes,Yes,Yes,2017
25000,Free School Street, Kathalbagan, Dhaka,Apartment,3,2,1150,No,Yes,Yes,Yes,North,Yes,No,Yes,2018
8000,Naya Nagar, Khilkhet, Dhaka,Room,2,1,650,Yes,No,No,No,North,Yes,Yes,Yes,2016
16000,East Monipur, Mirpur, Dhaka,Apartment,3,3,1350,Yes,Yes,Yes,Yes,East,Yes,No,Yes,2017
22000,Free School Street, Kathalbagan, Dhaka,Room,3,2,900,No,No,No,No,East,No,Yes,Yes,2018
11000,Azimpur Road, Lalbagh, Dhaka,Room,2,1,550,No,Yes,Yes,No,North,No,No,Yes,2017
27000,Block G, Bashundhara R/A, Dhaka,Apartment,3,4,1500,No,No,No,Yes,North,Yes,No,Yes,2016
24000,Sector 10, Uttara, Dhaka,Apartment,3,4,1600,Yes,No,No,Yes,North,No,Yes,Yes,2016
14000,Golden Street, Shyamoli, Dhaka,Apartment,2,2,1100,Yes,Yes,Yes,No,North,No,Yes,Yes,2017
15000,Golden Street, Shyamoli, Dhaka,Room,2,2,850,No,Yes,Yes,Yes,North,No,No,Yes,2017
46000,Gulshan 1, Gulshan, Dhaka,Duplex,3,3,2150,Yes,No,No,No,East,Yes,Yes,Yes,2016
17000,Section 2, Mirpur, Dhaka,Apartment,2,2,1000,No,Yes,No,Yes,North,No,No,Yes,2018
18000,Tikatuli, Sutrapur, Dhaka,Apartment,3,2,1250,Yes,No,No,No,South,No,Yes,Yes,2016
12000,Tilpapara, Khilgaon, Dhaka,Apartment,2,2,1050,No,Yes,Yes,Yes,North,No,No,Yes,2016
27000,Golden Street, Shyamoli, Dhaka,Apartment,3,3,1600,No,No,Yes,No,North,No,No,Yes,2017
35000,Amligola, Lalbagh, Dhaka,Apartment,2,2,1050,No,No,No,No,North,No,Yes,Yes,2018
25000,Block A, Bashundhara R/A, Dhaka,Apartment,3,4,1400,No,Yes,Yes,Yes,North,No,Yes,Yes,2017
70000,Road5, Baridhara DOHS, Dhaka,Duplex,3,3,2700,Yes,Yes,No,Yes,North,Yes,No,Yes,2016
32000,Golden Street, Shyamoli, Dhaka,Duplex,3,4,1800,No,No,Yes,No,South,No,Yes,Yes,2016
14000,Section 10, Mirpur, Dhaka,Duplex,2,2,11700,Yes,Yes,No,Yes,East,No,No,Yes,2017
20000,Sector 10, Uttara, Dhaka,Apartment,3,4,1600,Yes,No,No,No,North,No,Yes,Yes,2018
11000,Goran, Khilgaon, Dhaka,Room,2,2,820,Yes,Yes,No,Yes,East,No,No,Yes,2016
10000,Senpara Parbata lane, Mirpur, Dhaka,Room,2,1,600,No,No,No,No,West,No,No,Yes,2017
10000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,3,1400,Yes,No,Yes,No,West,No,Yes,Yes,2018
14000,Dakhshin Para, Mohakhali, Dhaka,Room,2,2,750,No,Yes,No,Yes,West,No,Yes,Yes,2018
16000,Tilpapara, Khilgaon, Dhaka,Apartment,2,2,1000,Yes,Yes,Yes,Yes,North,No,No,Yes,2017
12000,Amligola, Lalbagh, Dhaka,Room,2,1,650,No,No,Yes,No,South,No,No,Yes,2016
13000,Naya Nagar, Khilkhet, Dhaka,Room,2,2,700,No,No,Yes,Yes,North,No,Yes,Yes,2017
16000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Room,2,2,820,Yes,Yes,No,No,North,No,No,Yes,2018
22000,South Badda, Badda, Dhaka,Apartment,3,2,1020,Yes,No,Yes,Yes,North,No,Yes,Yes,2016
7500,Donia, Jatra Bari, Dhaka,Room,2,1,600,No,Yes,No,No,North,Yes,No,Yes,2017
15000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,3,1250,Yes,No,Yes,No,South,No,Yes,Yes,2016
12000,Goran, Khilgaon, Dhaka,Room,2,2,725,No,Yes,No,Yes,East,No,No,Yes,2017
11000,Block F, Banasree, Dhaka,Room,2,1,900,Yes,No,No,Yes,North,No,No,Yes,2016
15000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,3,1250,No,No,Yes,No,North,Yes,Yes,Yes,2017
20000,South Badda, Badda, Dhaka,Apartment,3,2,1125,No,Yes,Yes,No,East,No,Yes,Yes,2017
25000,Block G, Bashundhara R/A, Dhaka,Apartment,3,3,1500,Yes,Yes,No,Yes,East,No,No,Yes,2016
13000,Section 10, Mirpur, Dhaka,Room,2,2,750,Yes,No,Yes,No,East,No,Yes,Yes,2018
14000,Section 10, Mirpur, Dhaka,Room,2,2,900,No,Yes,No,Yes,West,No,No,Yes,2016
34000,Panthapath Main Road, Kalabagan, Dhaka,Apartment,3,4,1400,Yes,No,Yes,No,North,No,Yes,Yes,2017
11000,Ibrahimpur Bazar Road, Ibrahimpur, Dhaka,Room,2,2,850,No,Yes,No,Yes,North,No,No,Yes,2016
15000,Block F, Banasree, Dhaka,Apartment,3,2,1000,Yes,No,No,No,North,Yes,No,Yes,2018
15000,South Badda, Badda, Dhaka,Room,2,2,750,No,No,Yes,No,North,No,Yes,Yes,2017
20000,Sector 10, Uttara, Dhaka,Apartment,2,2,1000,No,Yes,Yes,Yes,North,No,Yes,Yes,2018
16000,Tikatuli, Sutrapur, Dhaka,Room,3,2,950,Yes,Yes,No,Yes,North,No,No,Yes,2017
14000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Room,2,2,850,No,No,Yes,No,North,No,Yes,Yes,2016
6000,Donia, Jatra Bari, Dhaka,Room,2,1,600,No,Yes,No,Yes,North,Yes,No,Yes,2018
9000,Section 2, Mirpur, Dhaka,Room,2,1,600,No,No,Yes,No,East,Yes,Yes,Yes,2018
9900,Mohammadi Housing LTD., Mohammadpur, Dhaka,Room,1,1,500,No,Yes,No,Yes,East,Yes,No,No,2018
9000,Goran, Khilgaon, Dhaka,Room,2,2,900,No,No,No,No,North,No,No,Yes,2017
13000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,2,1200,Yes,No,Yes,No,North,No,Yes,Yes,2017
9000,Section 2, Mirpur, Dhaka,Room,1,1,550,No,Yes,No,Yes,North,No,Yes,Yes,2018
18000,Section 2, Mirpur, Dhaka,Apartment,3,3,1150,Yes,Yes,No,Yes,North,No,No,Yes,2018
11500,Naya Nagar, Khilkhet, Dhaka,Room,2,1,700,No,No,No,No,North,No,No,Yes,2017
15000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,2,1200,Yes,No,No,Yes,East,No,No,Yes,2016
20000,Block C, Banasree, Dhaka,Apartment,2,2,1050,Yes,No,No,No,North,No,No,Yes,2017
20500,Shahjadpur, Badda, Dhaka,Apartment,3,3,1100,Yes,No,Yes,Yes,South,No,No,Yes,2016
12500,Section 10, Mirpur, Dhaka,Room,2,2,783,No,No,No,No,North,No,Yes,Yes,2016
16000,Goran, Khilgaon, Dhaka,Room,2,2,950,No,Yes,Yes,No,North,Yes,No,Yes,2016
26000,Sector 6, Uttara, Dhaka,Room,2,2,900,No,No,No,Yes,North,Yes,Yes,Yes,2018
12000,Goran, Khilgaon, Dhaka,Room,2,2,900,No,Yes,Yes,Yes,North,Yes,No,Yes,2017
8500,Kawlar, Dakshin Khan, Dhaka,Room,2,1,600,No,No,Yes,No,North,Yes,Yes,Yes,2016
20000,Sector 6, Uttara, Dhaka,Room,2,2,900,No,Yes,Yes,No,South,Yes,No,Yes,2017
10500,North Kafrul Road, Ibrahimpur, Dhaka,Room,2,2,850,Yes,No,No,No,East,Yes,No,Yes,2016
9500,Donia, Jatra Bari, Dhaka,Room,3,2,805,No,No,No,No,North,Yes,Yes,Yes,2017
18000,Goran, Khilgaon, Dhaka,Apartment,3,3,1250,Yes,Yes,No,No,East,No,Yes,Yes,2017
20000,Goran, Khilgaon, Dhaka,Apartment,3,3,1250,No,Yes,No,Yes,West,No,No,Yes,2016
22000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Apartment,3,3,1200,Yes,No,No,No,West,No,Yes,Yes,2018
11000,Donia, Jatra Bari, Dhaka,Room,3,2,800,No,Yes,No,Yes,West,No,No,Yes,2016
18000,Middle Badda, Badda, Dhaka,Apartment,3,3,1060,No,No,Yes,No,North,No,Yes,Yes,2017
10000,Donia, Jatra Bari, Dhaka,Room,2,2,800,Yes,Yes,No,Yes,South,No,No,Yes,2017
12000,Donia, Jatra Bari, Dhaka,Room,3,2,800,Yes,No,Yes,No,North,Yes,No,Yes,2017
11500,Donia, Jatra Bari, Dhaka,Room,3,2,800,No,No,No,No,North,No,Yes,Yes,2016
8500,Donia, Jatra Bari, Dhaka,Room,2,2,700,Yes,Yes,Yes,Yes,North,No,Yes,Yes,2016
8000,Donia, Jatra Bari, Dhaka,Room,2,1,700,No,Yes,No,Yes,North,No,No,Yes,2018
15000,Amligola, Lalbagh, Dhaka,Room,3,2,850,Yes,No,No,No,South,Yes,Yes,Yes,2018
8000,Dakhshin Para, Mohakhali, Dhaka,Room,1,1,350,No,Yes,Yes,Yes,East,No,No,No,2018
10000,North Kafrul Road, Ibrahimpur, Dhaka,Room,2,2,750,No,No,Yes,No,East,No,Yes,Yes,2017
18000,Block E, Banasree, Dhaka,Apartment,2,2,1000,Yes,Yes,No,Yes,North,No,No,Yes,2017
15000,Middle Badda, Badda, Dhaka,Room,2,2,720,Yes,No,Yes,No,South,No,No,Yes,2018
11500,Goran, Khilgaon, Dhaka,Apartment,2,2,930,No,No,No,No,North,No,Yes,Yes,2018
21000,West Nakhalpara, Tejgaon, Dhaka,Room,2,2,650,Yes,Yes,Yes,Yes,North,No,No,Yes,2016
18000,Section 2, Mirpur, Dhaka,Apartment,3,3,1350,No,No,No,Yes,North,Yes,No,Yes,2017
21000,Block B, Banasree, Dhaka,Apartment,3,3,1200,Yes,No,No,No,North,No,No,Yes,2017
17500,Section 2, Mirpur, Dhaka,Apartment,3,3,1150,No,No,Yes,Yes,North,No,Yes,Yes,2017
12000,East Monipur, Mirpur, Dhaka,Apartment,2,2,1000,No,Yes,Yes,No,South,No,Yes,Yes,2017
13000,Nayatola, Maghbazar, Dhaka,Apartment,3,2,1440,Yes,Yes,No,Yes,East,No,No,Yes,2018
10000,Middle Badda, Badda, Dhaka,Room,1,1,600,Yes,No,Yes,No,North,Yes,Yes,Yes,2016
22000,Free School Street, Kathalbagan, Dhaka,Apartment,2,2,924,No,Yes,No,No,East,Yes,No,Yes,2016
6500,Amligola, Lalbagh, Dhaka,Room,1,1,350,No,No,No,No,West,No,No,No,2018
16000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,3,1400,No,Yes,No,No,West,No,No,Yes,2017
10000,Kawlar, Dakshin Khan, Dhaka,Room,2,2,850,Yes,No,No,No,West,No,No,Yes,2017
17000,Nurer Chala, Badda, Dhaka,Apartment,3,3,1300,No,No,No,No,North,No,Yes,Yes,2017
13000,Block A, Banasree, Dhaka,Apartment,3,3,1200,Yes,Yes,Yes,Yes,South,No,Yes,Yes,2017
18000,Sector 10, Uttara, Dhaka,Apartment,3,3,1300,No,Yes,Yes,Yes,North,No,No,Yes,2018
14000,Middle Badda, Badda, Dhaka,Room,2,2,720,No,No,No,No,North,No,Yes,Yes,2016
10000,Kawlar, Dakshin Khan, Dhaka,Apartment,3,3,1400,Yes,Yes,Yes,Yes,North,No,No,Yes,2016
10000,Block A, Banasree, Dhaka,Room,2,1,900,Yes,No,No,No,North,No,Yes,Yes,2017
12000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Room,2,1,600,No,Yes,Yes,Yes,South,No,No,Yes,2018
20000,Shantinagar Bazar Rd, Shantinagar, Dhaka,Room,2,2,850,Yes,No,No,No,East,Yes,No,Yes,2018
12000,Block A, Banasree, Dhaka,Apartment,3,3,1200,No,No,No,No,North,Yes,Yes,Yes,2016
23000,Nurer Chala, Badda, Dhaka,Apartment,3,3,1200,Yes,Yes,Yes,Yes,North,Yes,Yes,Yes,2018
18000,Sector 10, Uttara, Dhaka,Apartment,3,3,1500,No,Yes,Yes,Yes,North,Yes,No,Yes,2016
18000,East Monipur, Mirpur, Dhaka,Apartment,3,2,1200,No,No,No,No,North,Yes,Yes,Yes,2017
12000,B.C Das Lane, Lalbagh, Dhaka,Room,2,1,750,Yes,Yes,Yes,Yes,East,Yes,No,Yes,2016
18000,Bir Uttam Rafiqul Islam Avenue, Badda, Dhaka,Apartment,3,3,1400,Yes,No,No,No,East,Yes,Yes,Yes,2017
15000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Room,2,2,850,No,Yes,Yes,Yes,East,No,No,Yes,2016
12000,Block F, Bashundhara R/A, Dhaka,Room,1,1,350,Yes,No,No,No,West,No,No,No,2018
21000,Nurer Chala, Badda, Dhaka,Apartment,3,3,1100,No,No,No,No,North,Yes,Yes,Yes,2016
9000,Tilpapara, Khilgaon, Dhaka,Room,2,2,700,Yes,Yes,Yes,Yes,North,No,No,Yes,2017
15000,Goran, Khilgaon, Dhaka,Room,2,2,750,No,No,Yes,Yes,North,No,Yes,Yes,2016
14000,Shantinagar Bazar Rd, Shantinagar, Dhaka,Room,2,1,600,No,Yes,No,No,North,No,No,Yes,2017
20000,Naya Paltan, Motijheel, Dhaka,Room,2,2,950,Yes,No,Yes,Yes,North,Yes,No,Yes,2018
34000,Shiddeswari Road, Shiddheswari, Dhaka,Apartment,3,3,1480,Yes,No,No,No,North,No,No,Yes,2018
34000,Shiddeswari Road, Shiddheswari, Dhaka,Apartment,3,3,1480,No,No,Yes,Yes,North,No,Yes,Yes,2016
32000,Khilji Road, Mohammadpur, Dhaka,Apartment,3,3,1420,No,Yes,No,No,North,No,No,Yes,2016
40000,Shiddeswari Road, Shiddheswari, Dhaka,d,4,4,2700,Yes,No,No,No,East,No,Yes,Yes,2017
50000,Shiddeswari Road, Shiddheswari, Dhaka,Duplex,3,4,1550,No,Yes,Yes,Yes,East,No,No,Yes,2017
32000,Shahinbag, Tejgaon, Dhaka,Apartment,3,3,1300,Yes,No,No,No,North,No,Yes,Yes,2016
12000,Bot Tola, Khilkhet, Dhaka,Room,2,2,700,No,Yes,Yes,Yes,North,Yes,Yes,Yes,2018
14000,Uttar Para, Khilkhet, Dhaka,Apartment,3,3,1000,Yes,Yes,No,No,North,No,Yes,Yes,2016
6500,West Nakhalpara, Tejgaon, Dhaka,Room,1,1,350,No,Yes,No,No,North,No,No,No,2018
8000,Road 8A, Dhanmondi, Dhaka,Room,1,1,450,No,No,No,No,North,No,No,No,2018
22000,Outer Circular Road, Maghbazar, Dhaka,Room,2,2,925,Yes,No,Yes,Yes,East,No,Yes,Yes,2018
11000,East Nakhalpara, Tejgaon, Dhaka,Room,2,1,650,Yes,Yes,No,No,North,No,No,Yes,2017
6000,Block F, Bashundhara R/A, Dhaka,Room,1,1,300,No,No,Yes,Yes,South,No,Yes,No,2018
11800,Tikatuli, Sutrapur, Dhaka,Room,2,1,550,Yes,Yes,No,No,North,No,Yes,Yes,2017
32000,Road 8A, Dhanmondi, Dhaka,Apartment,3,3,1100,No,Yes,No,Yes,North,No,Yes,Yes,2018
20000,Sher-E-Bangla Road, Hazaribag, Dhaka,Apartment,3,2,1400,Yes,Yes,Yes,Yes,North,No,No,Yes,2018
55000,Block J, Baridhara, Dhaka,Duplex,4,4,3000,No,No,No,Yes,North,No,Yes,Yes,2018
15000,South Baridhara Residential Area,D.I.T. Project, Badda,Room,2,2,720,No,Yes,No,No,North,No,No,Yes,2017
16000,West Dhanmondi and Shangkar, Dhanmondi, Dhaka,Room,2,2,800,Yes,No,No,No,South,No,Yes,Yes,2018
20000,Sher-E-Bangla Road, Dhanmondi, Dhaka,Apartment,3,2,1400,Yes,Yes,Yes,Yes,East,Yes,No,Yes,2016
14000,Wari, Sutrapur, Dhaka,Room,2,1,550,No,No,No,No,North,No,No,Yes,2018
15000,Road 8A, Dhanmondi, Dhaka,Room,2,1,550,Yes,No,Yes,Yes,East,No,Yes,Yes,2016
35000,Road 8A, Dhanmondi, Dhaka,Apartment,3,4,1200,No,Yes,No,Yes,West,No,Yes,Yes,2018
20000,Khilbari Tek, Badda, Dhaka,Apartment,3,3,1200,Yes,Yes,Yes,Yes,West,Yes,No,Yes,2017
10000,Uttar Khan Mazar Road, Dakshin Khan, Dhaka,Room,2,1,850,No,No,Yes,No,West,No,Yes,Yes,2017
18000,Mohammadi Housing LTD., Mohammadpur, Dhaka,Apartment,3,3,1200,No,Yes,Yes,Yes,North,No,No,Yes,2017
12500,Bot Tola, Khilkhet, Dhaka,Room,1,2,750,Yes,No,No,No,South,No,Yes,Yes,2018
13000,Baitul Aman Housing Society, Adabor, Dhaka,Room,2,2,900,Yes,Yes,No,Yes,North,No,No,Yes,2016
13500,Tekpara, Badda, Dhaka,Room,2,2,800,No,No,Yes,No,North,No,No,Yes,2017
30000,Shantinagar Bazar Rd, Shantinagar, Dhaka,Apartment,3,3,1450,No,No,No,No,East,No,Yes,Yes,2016
12500,Abur Tek Road, Khilkhet, Dhaka,Room,2,2,700,No,Yes,Yes,Yes,West,Yes,Yes,Yes,2018
16000,Baitul Aman Housing Society, Adabor, Dhaka,Room,2,2,850,No,Yes,Yes,Yes,North,No,No,Yes,2016
85000,Gulshan 2, Gulshan, Dhaka,Duplex,4,4,2800,No,No,No,No,North,No,Yes,Yes,2016
4000,Block F, Bashundhara R/A, Dhaka,Room,1,1,300,Yes,Yes,No,Yes,North,No,No,No,2018
7500,Mir Hajirbag New Road, Jatra Bari, Dhaka,Room,2,1,700,No,No,Yes,No,North,No,Yes,Yes,2016
25000,Block F, Bashundhara R/A, Dhaka,Duplex,3,3,1800,Yes,Yes,Yes,Yes,North,Yes,No,Yes,2018
28000,Sector 6, Uttara, Dhaka,Apartment,3,3,1300,No,No,No,No,North,Yes,No,Yes,2016
18000,Wari, Sutrapur, Dhaka,Room,2,2,750,Yes,No,Yes,No,North,Yes,Yes,Yes,2016
19000,Outer Circular Road, Maghbazar, Dhaka,Apartment,3,2,1000,No,Yes,Yes,Yes,North,No,No,Yes,2017
80000,Gulshan 2, Gulshan, Dhaka,Duplex,4,4,3500,No,No,No,Yes,East,No,Yes,Yes,2016
50000,Gulshan 2, Gulshan, Dhaka,Duplex,4,4,3600,Yes,Yes,Yes,No,East,No,No,Yes,2017
80000,New Baily Road, Shiddheswari, Dhaka,Duplex,4,5,2750,Yes,No,No,Yes,North,No,No,Yes,2017
22000,Boro Maghbazar, Maghbazar, Dhaka,Apartment,3,3,1100,No,No,No,No,North,No,No,Yes,2016
80000,Gulshan 2, Gulshan, Dhaka,Duplex,4,4,2800,Yes,No,No,Yes,North,No,No,Yes,2017
13500,East Shewrapara, Mirpur, Dhaka,Apartment,3,2,1000,No,No,Yes,No,North,No,No,Yes,2016
16000,Block F, Bashundhara R/A, Dhaka,Room,2,2,800,Yes,Yes,No,No,North,No,Yes,Yes,2016
32000,Sector 10, Uttara, Dhaka,Duplex,4,3,1700,No,Yes,Yes,Yes,East,No,No,Yes,2017
30000,Block F, Bashundhara R/A, Dhaka,Duplex,3,4,2000,No,No,No,No,North,Yes,Yes,Yes,2018
18000,Free School Street, Kathalbagan, Dhaka,Room,2,1,800,Yes,No,Yes,Yes,South,Yes,No,Yes,2016
12000,East Kazipara, Mirpur, Dhaka,Room,2,2,800,Yes,Yes,No,Yes,North,Yes,Yes,Yes,2017
45000,Road 8A, Dhanmondi, Dhaka,Apartment,4,4,1700,No,No,No,No,North,Yes,Yes,Yes,2016
14000,East Kazipara, Mirpur, Dhaka,Apartment,3,2,1100,Yes,No,Yes,Yes,North,Yes,Yes,Yes,2016
12500,East Kazipara, Mirpur, Dhaka,Room,2,2,800,No,No,Yes,No,North,Yes,No,Yes,2016
13500,Adarsh Nagar Road, Badda, Dhaka,Room,2,2,900,Yes,No,No,No,North,No,No,Yes,2017
30000,Block G, Bashundhara R/A, Dhaka,Duplex,4,4,1900,No,No,Yes,Yes,South,No,No,Yes,2016
10000,Block E, Banasree, Dhaka,Room,2,1,900,No,Yes,No,No,East,No,No,Yes,2018
15000,Block E, Banasree, Dhaka,Apartment,2,2,1050,Yes,No,Yes,Yes,North,No,No,Yes,2017
15000,Sector 10, Uttara, Dhaka,Apartment,3,2,1000,No,Yes,No,No,East,Yes,No,Yes,2016
11500,Section 10, Mirpur, Dhaka,Room,2,2,650,No,No,No,No,West,No,Yes,Yes,2017
15500,M.C. Roy Lane, Lalbagh, Dhaka,Room,2,2,750,No,Yes,Yes,No,West,No,No,Yes,2017
18000,Baitul Aman Housing Society, Adabor, Dhaka,Apartment,3,2,1250,Yes,Yes,Yes,Yes,West,No,Yes,Yes,2017
12500,Block E, Banasree, Dhaka,Room,2,2,900,Yes,Yes,No,No,North,Yes,No,Yes,2016
31000,Block E, Banasree, Dhaka,Duplex,4,4,2500,No,No,Yes,Yes,South,No,Yes,Yes,2016
